"Date","URL","Endid","Title","Brand_name","Position"
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/nevez-finistere/le-raguenes-plage/camping","83885","Camping Le Raguenès Plage","Allcamps",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/nevez-finistere/le-raguenes-plage/camping","83885","Camping Le Raguenès Plage","Go4holiday",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/nevez-finistere/le-raguenes-plage/camping","83885","Camping Le Raguenès Plage","De Jong Intra",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/nevez-finistere/le-raguenes-plage/camping","83885","Camping Le Raguenès Plage","ANWB camping",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/nevez-finistere/le-raguenes-plage/camping","83885","Camping Le Raguenès Plage","ACSI Eurocampings",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/nevez-finistere/le-raguenes-plage/camping","83885","Camping Le Raguenès Plage","D-reizen",7
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/nevez-finistere/le-raguenes-plage/camping","83885","Camping Le Raguenès Plage","AlleReizenOp1Site.nl",8
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/nevez-finistere/le-raguenes-plage/camping","83885","Camping Le Raguenès Plage","Expedia.nl",9
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/des-menhirs/camping","83707","Camping Des Menhirs","Eurocamp",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/des-menhirs/camping","83707","Camping Des Menhirs","Allcamps",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/des-menhirs/camping","83707","Camping Des Menhirs","Go4holiday",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/des-menhirs/camping","83707","Camping Des Menhirs","Lux-camp",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/des-menhirs/camping","83707","Camping Des Menhirs","Al Fresco",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/des-menhirs/camping","83707","Camping Des Menhirs","AlleReizenOp1Site.nl",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/des-menhirs/camping","83707","Camping Des Menhirs","D-reizen",7
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/la-grande-metairie/camping","83710","Camping La Grande Métairie","Allcamps",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/la-grande-metairie/camping","83710","Camping La Grande Métairie","Go4holiday",2
